description,id
FOR TESTING PURPOSES,75
TESTING,76
NULL,77
NULL,78
a guy with blue tshirt tresspassing,79
TEST,80
Drunkard male,81
there is a suspicious person trying to break in the shake shack shop,82
Women fell near T3 link bridge.,83
NULL,84
testing,85
POWER FAILURE INCIDENT,86
CH-RE-B2-5A_TRIP-Equipment Trip,87
Power Trip at B1-267,88
shop theft alert! male chinese blue shirt stole cash from cashbox at last seen at location.,89
Testing,90
"Equipment=
Location=17d08755-9e4b-47cd-8d77-08d685d3e130
Requester=System Admin
Email=xuanvinh.nguyen@anacle.com
Phone=
Description=",91
"Equipment=
Location=ef93af03-1c0d-4c12-8934-08d6b50306e1
Requester=Kelly Chia
Email=abc@lala.com
Phone=
Description=Foul Smell",92
"Informed By Project Manager Wendy at unit 01-251, air pipe leaking",93
"chinese, red shirt/suspected drug addict",94
"TEST-UNATTENDED BAG,ORANGE HAVERSACK OUTSIDE FEMALE TOILET.",95
found guy tresspassing,96
chdg,97
"Men running to T2. Pants, with black top.",98
break in( test),99
Petit Bateau unit: 04-241- 242 informed by UX Kai Xin,100
TEST,101
female guest t with pets roaming around,102
Trial testing,103
"chinese female
red tshirt
long hair",104
STANDBY GENERATOR FAILED,105
while patroling i saw a indian man was walking inside jewel after operation hour.,106
auto-created for testing purposes,107
Instruct contractors to practice safety measures and prevent dust from entering forest valley,108
Unattended Bag near ES 12 at L1,109
TESTING,110
light flickering at Lobby E ceiling B1,111
DO NOT BE ALARMED AGAIN,112
TEST,113
auto-created for testing purposes,114
"female black shirt,brown pants",115
test,116
TEST,117
1old man look like want to jump ..56 years old,118
"vechicle hit wall and damage it
NGE company .
logistic for uniqlo
93224409 mr lee",119
"Power tripped at #02-203, Tokyu Hands. Informed by Doreen, JCAD.",120
TESTING,121
testing,122
test,123
testing 123,124
auto-created for testing purposes,125
wrong entry,126
confimed  the individual is not suspicious,127
test,128
test duplicate 2,129
test,130
testing,131
TEST,132
internal orat,133
auto-created for testing purposes,134
NULL,135
TEST,136
pipe leaking @ L2 in unit no -223 Tim ho wan repoted by jcad doreen,137
AHU  Or FCU Chilled not working,138
Unaattended bag testing,139
TEST,140
test,141
AHU-JWL-ATT-L5-01_CmdFail-Command Fail Alarm,142
NULL,143
Lobby H lvl 1 Lift Breakdown .Lift is not moving.,144
auto-created for testing purposes,145
"a male guest in blue t shirt is very drunk,causing public nuisance",146
one male wearing black t shirt spotted smoking at l1,147
test,148
"FM - Façade Water Leaking

Actual Location is at Stair 11A, nearest by FL11, when we walk around and found some water at floor and believe is come out",149
test test,150
Light Flickering L4 near to yotel,151
testing,152
case confirmed at the say location,153
test02,154
NULL,155
TESTING,156
NULL,157
"Equipment=
Location=00000000-0000-0000-0000-000000000000
Requester=Test
Email=test@test.com
Phone=12354678
Description=Test SOC Interface 29-Mar-19 2:03:24 PM",158
"Officer to contain Rat. Rat is a paper note that says THIS IS A RAT""""",159
testing,160
pipi leaking near  B2 lobby H ceilling.,161
one male in red,162
DXFCU-JWL-B1-MDF1-01_CMDFAIL-Command Fail Alarm,163
TEST,164
test,165
testing,166
officer  verbal abuse by unknown person,167
SOS,168
TESTING,169
test,170
NULL,171
testing,172
1 Male Chine subject with a White Top & Black Pants  with Black Shoes with Blue lanyard infront of Bengaan Solo near Left Baggage,173
TEST,174
testing,175
test duplicate 1,176
test test,177
POWER FAILURE REPORTED.,178
TEST,179
NULL,180
TEST,181
testing,182
wire damege,183
trial - flickering lights,184
TEST R1,185
NULL,186
NULL,187
suspected theft (TEST),188
NULL,189
DX Unit Breakdown (ORT),190
Unattended plastic bag with black materials soil like  will be bringing to L2 Customer counter,191
helo,192
TESTING,193
suspected theft 2 (TEST),194
Testing,195
testing,196
PWTP-RET-B5-03_TRIP-Pump Trip Status,197
TEST,198
"TEST - break in alert with alarm activated,please check on site and update.",199
testing,200
Found a small dog at the say location owner was advice to cage the pet and leave the building,201
sinage broken(testing),202
"Brown hair, black spec, black shirt, name is Jeffrey",203
testing,204
"Air-con leaking at B2-229, near South Escalator, Dian Xiao Er restaurant. Reported by Richard (UX).",205
TEST2,206
"Equipment=
Location=17d08755-9e4b-47cd-8d77-08d685d3e130
Requester=System Admin
Email=xuanvinh.nguyen@anacle.com
Phone=
Description=Test SOC Interface 201903291438",207
test,208
heart attack,209
DXFCU-JWL-B1-MDF1-01_CMDFAIL-Command Fail Alarm,210
Drunken person location near at lobby E (test),211
NULL,212
test,213
NULL,214
TEST,215
suspicioustest,216
unattended bag outside Tustle (#04-228) at level 4,217
a construction worker got minor cut on his hand. obtained first aid kit from concierge podium.,218
Case confirmed at the say location,219
testing,220
1 Male Chine subject with a White Top & Black Pants  with Black Shoes with Blue lanyard infront of Bengaan Solo near Left Baggage,221
testing,222
TEST,223
NULL,224
FOR TESTING PURPOSE,225
testing,226
elderly lady had a fall and she is bleeding from the head,227
TESTING,228
test,229
TESTING,230
test3,231
Light Flickering below skytrain near to mist trail at level 1.,232
"black t-shirt,black pans,black bag,black bag",233
TEST,234
NULL,235
NULL,236
electric power request by CAG,237
auto-created for testing purposes,238
02 dog ( chihuahua) spotted @L2 info counter,239
Unattended items at ST10A,240
TEST,241
Trial - Man with white polo tee black pants stealing fr shop,242
Unattended At l2 Outside Shake Shack near to info counter.,243
test,244
test,245
NULL,246
testing pa system not working,247
power tripped,248
NULL,249
test 10,250
NULL,251
test,252
test,253
SOURCE POOL,254
TESTING,255
"TRIAL -  Drink spill, need cleaner to clean the floor in front of entrance of walking net.",256
testing testing,257
test,258
Testing,259
NULL,260
"one  lady guest drunk   long hair, white shirt ,grey pants ,",261
sucuide did not jumb (test),262
testing,263
broken glass,264
test,265
TESTING,266
POWER FAILURE,267
testing,268
TEST TEST,269
Door cannot Lock,270
NULL,271
TEST,272
"Have a male smoking at eggs n things shop,he smoking inside the shop,I wil advise the person to smoking at the smoking area",273
"Malay man wearing white polo t , blue jeans with spec",274
FOR TESTING PURPOSES.,275
Female fainted near Lobby H.,276
testing2,277
light faulty,278
leak,279
wire damage,280
testing,281
"Escalator 12,north is not in working condition, need maintainance, i would divert guest to the nearest lift lobby.",282
test runnnnn,283
found 1 guess bringing pet inside Jewel.,284
Last seen at Tokyu Hand.,285
TEST,286
test,287
"Lost 4 years old female kid, her mom's name is Ana, last seen at the toilet bring the child wearing yellow shirt black pants to L3 T2 Linkbridge Concierge podium for paging assistance.",288
Last seen at Tokyu Hand.,289
chiller trip,290
testing,291
NULL,292
"Trial Unattended Bags
trial unattended bag",293
test,294
TESTING,295
Trial lift not functioning,296
"malay
black tee
black cap 
blue jeans
blue bagpack",297
testing .please do not react,298
test duplicate 2,299
TEST,300
TESTING,301
Trial-Smoking guest in the Jewel main entrance. Tried to difuse situation but guest got violent.,302
TESTING,303
theft 3,304
PWTP-ATT-B5-01_HiLvlAlm-Tank High Water Level Alarm,305
test test,306
NULL,307
TESTING,308
test,309
basement2 Lobby e just now open  now door is close,310
sub contractor used sissors lift without floor protection,311
found unantted bag..it white colour near lift left side,312
testing,313
unattended bag at level 2 outside apple shop,314
"male
indian
wear black tee
tall
cary black haversac",315
"General - Others
Level 2 everything normal
Level 3 everything normal
Level 4 everything normal",316
test,317
water leaking on ceiling in front of L4 Pokemon,318
SOS,319
blablabla,320
testing,321
"Equipment=
Location=1
Requester=test
Email=sdfds@asda.com
Phone=123456
Description=test",322
TEST,323
Testing - male blue tee black pants,324
test test,325
TEST,326
"Indian lady
Pink shirt
Long hair",327
unattended bag green recycle bag,328
testing,329
suicide did not jumb(test) indian man,330
TEST TEST,331
testing,332
"blue shirt and black pant.
abit fat.
wear white watch.",333
TEST,334
TEST,335
female wearing orange looking suspicious spotted at L2 restaurant seating walkway. near starbuck,336
found unattn bag in front Bee Cheng Hiang Level 1,337
test,338
TEST,339
NULL,340
TESTING,341
"Equipment=
Location=1
Requester=test
Email=sdfds@asda.com
Phone=123456
Description=test",342
TEST,343
TEST,344
escorted unauthorised worker out of jewel to chg valid pass. closed case.,345
break in,346
EDB-JWL-LC1-B2-Z4-LVSW_IncTrip-Incoming Breaker Trip,347
test,348
NULL,349
test test,350
internal orat,351
TEST,352
test,353
No power supply at #01-235. Reported by JCAD.,354
test,355
NULL,356
TEST,357
"A man wearing black shirt , blue jeans , white shoes",358
TESTING,359
test,360
ond female guest suspicious in frony of tiger lab bar,361
TEST,362
TEST,363
testing cctv,364
jkjjkgk,365
SOS,366
auto-created for testing purposes,367
outrage of modesty,368
Testing,369
testing,370
man in blace,371
TESTING,372
TESTING,373
FCU-JWL-B1-226-227-01_CmdFail-Command Fail Alarm,374
light blown.,375
NULL,376
test,377
"escalator is faulty,not moving near rain vortex north area from L1 to B1, direction going down.",378
Flooded staircase,379
Power trip at B1-273/274,380
To send SO on site,381
testing,382
test,383
1 FEMALE CHINESE PAX SPOTTED WITH 1 PET DOG,384
TEST,385
TEST,386
never put protection on flooring before assemble the wood work. L4_QD_Fun Toast at 04 - 246. they will dismamtle the wood work,387
Escalator 12 which going down to B1M was breakdown.,388
test01,389
TEST,390
"I already advise the person stop smoking,but the person turn vioclent,not cooprate,broken the glass bottle,beside have a female was injury,so I call for medical.",391
L4 04-246,392
TEST,393
NULL,394
TEST,395
Testing,396
"Chinese male
yellow polo T",397
unnettandant bag near pokemon lvl 4.i will handover to information counter nearby lvl 4.,398
"Equipment=
Location=17d08755-9e4b-47cd-8d77-08d685d3e130
Requester=System Admin
Email=xuanvinh.nguyen@anacle.com
Phone=
Description=Test Closing SOC Case",399
"Guest with roaming dog, approached guest, explain not allowed in jewel if no cage, but no avail",400
NULL,401
test,402
NULL,403
"japanese  lady with a pets chi hua hua no cage .behave aggressive ,",404
TEST,405
"male 
indian
wearing yellow vast",406
"Starbucks-Violation for validation rule MissingReading-20190320 (Missing Reading) is detected for 
Meter Serial - 1018432212	
MAC Address - 	
Meter Name - Starbucks	
Meter Serving Unit - All Locations > Jewel > Jewel Mall > Level 2 > #02-204	
Physical Location - 	
Alert Content - 
[Missing Reading: Total Real Energy] Missing reading for meter 'Starbucks' (1018432212) starting 3/19/2019 4:00:00 PM until 3/20/2019 4:48:22 PM.


*** Violations for this rule on this meter will no longer be notified until the message is cleared.",407
chinese man with blue shirt and black cap,408
suspected theft 3 (TEST),409
Trial testing,410
test,411
teasting,412
TEST,413
"Equipment=
Location=17d08755-9e4b-47cd-8d77-08d685d3e130
Requester=System Admin
Email=xuanvinh.nguyen@anacle.com
Phone=
Description=Test SOC Interface",414
TESTING,415
TESTING,416
Suspicious person in jewel near Lobby c level 1,417
lL2 _Qa Tokyo Hand....broken door  lock  found,418
"L1 Escalator 12 faulty, not moving.",419
TESTING1,420
TEST,421
Drunken person need backup,422
loading materials from B2 VMS,423
testing,424
water pipe leaking,425
es1 at L4 faulty. not moving,426
"water spillage spotted near escalator 12l at level 1 near rain vortex, cleaner and maintenance staff are needed",427
"male 
orange polo T 
fainted",428
leak,429
"Testing
Expectant mother fell due wet floot",430
Testing,431
test,432
TESTING,433
TEST,434
testing,435
test1,436
TESTING,437
spotted one guys bring one pets dog into Jewel food hall,438
Male attempt to commit suicide,439
test,440
TESTING,441
testing,442
NULL,443
TEST 1,444
testing,445
NULL,446
TEST R5,447
testing,448
Contractor has no valid sticker and he enter Jewel,449
test02,450
Fire testing,451
danger,452
trial - found item handover already to info counter at level 5 attached photos are the bag and the lost report hard copy,453
test,454
"Trial - Light Fault Rectification

One ceiling light located at the left side of L2 main entrance flickering, need help from FM.",455
Man spotted taking photo at forest valley L4,456
test,457
TESTING,458
testing,459
TESTING,460
FOR TESTING PURPOSES,461
SOS,462
testing,463
testing,464
NULL,465
"male 
chinese
wesre green shirt
very tall 
at b1 outside zara",466
shoes stolen by young kid.,467
TESTING,468
Testing,469
NULL,470
Jewel level 1 escalator 12 both upwards riding n downwards riding towards basement 1 not operational. Please send maintainence team to repair .,471
"01 male indian caught stealing from another guest.
attire blue shirt brown pants.",472
Trial - suspicious character spotted in front of L2 Apple store. Male with orange tee and black pant,473
Testing,474
NULL,475
found 1pax smoking,476
test,477
guess with uncage pet is a dog,478
"test
lobby H 
 heavy water leakage",479
spotted the dog roaming free,480
test,481
"Chinese male
Red polo T
Black Jeans",482
"Black out at B2, loading bay.",483
NULL,484
domestic water pipe leaking,485
testing,486
testing,487
SOS,488
auto-created for testing purposes,489
ADS (TEST),490
"Black bag, black shirts, black jeans,",491
TEST,492
testsssss,493
NULL,494
NULL,495
auto-created for testing purposes,496
Break In,497
"L1 directory near escalator 6 faulty, not working. cannot be use.",498
testing,499
damage pipe,500
wallte stole at near information counter,501
test11,502
NULL,503
test,504
"theft case reported by tenant mr.niq ,contact number 12345678.
a guy stolen 02MacBook at ard 1517hrs",505
Testing,506
testing,507
"test. Blue jeans, white shirt, tattoo full body, holding guitar.",508
Subject said that she lost the Iphone  at the North Gate entrance .She was holding on the phone last,509
TEST,510
"Man wearing white shirt, black pants, black shoes",511
trial- 2 mens transpassing discovery slide at 3am.,512
Teating,513
testing,514
testing,515
Drunkard Person ( test) - non aggressive,516
auto-created for testing purposes,517
leaking water,518
walkway at level 3 infront uit number 03-208 is blackout,519
in front of lacoste store  there is unattended computer I handed over to L2 info counter,520
test test,521
"testing testing 
one person in red shirt,male smoking at toilet corridor",522
TESTING,523
"trial , suspicious character taking upskirt pic, of charachter above. infront left baggage.",524
test,525
theft at yotel,526
theft,527
dgfsf,528
NULL,529
Last seen at Tokyu Hand.,530
TEST,531
DXFCU-JWL-B1-MDF1-01_CMDFAIL-Command Fail Alarm,532
"Chinese male
yellow polo t",533
test,534
leash dog at level 2,535
light spoiled at certis office,536
testing,537
NULL,538
"male
wear black t-shirt
blue jean
at zara shop
smoking",539
Smoking at L2-QA-lift Lobby E,540
trial unanttended plastic bag..contain black wallet at mirror maze entry level 5 near staitcase,541
1 male roaming around grey jacket tall near canopy brdge exit.,542
DB trip at L1-244.,543
NULL,544
TEST,545
"Female wearing white polo T, black pants, black high heels",546
auto-created for testing purposes,547
female guest spotted with dog (leashed),548
fell down injure head,549
SOS,550
suspected theft (test),551
o1 theft caught and ran off..last seen location level 2 info counter walkway.,552
Security - Suspicious character entering inside closed unit lvl 1 QC shang kitchen.person wearing yellow tshirt n black pants. need back up and monitor the unit.,553
Test fire,554
NULL,555
auto-created for testing purposes,556
NULL,557
test,558
person in blue.,559
Testing,560
TESTING,561
NULL,562
Last seen at Tokyu Hand.,563
test,564
Valve leaking at L2-251.,565
TEST,566
NULL,567
"ATTIRE - BLUE SHIRT BROWN PANTS
MALE INDIAN SPOTTED DRINKING WITH BEER BOTTLE ON HAND NEAR ESCALATOR.",568
"water leaking on the celling..
level b1 near by lobby 7A....
front of levis shop b1...",569
test,570
TEST,571
A pet walk around with its owner without cage.,572
TESTING,573
TEST,574
AHU breakdown at #01-244.,575
"urgent case,",576
Drunken person need backup,577
NULL,578
TEST,579
TESTING,580
"Security - Suspicious characters
test only",581
"Malay male
black shirt
black jeans",582
testing,583
wire damage,584
TESTING,585
FCU-JWL-B1-279-280_CmdFail-Command Fail Alarm,586
NULL,587
TESTING,588
NULL,589
DXFCU-JWL-B1-MDF1-01_CmdFail-Command Fail Alarm,590
At unit B2- 234 Main Incoming DB Circuit Breaker tripper,591
NULL,592
NULL,593
internal orat,594
proceed there now,595
Chiller trip,596
auto-created for testing purposes,597
TESTING,598
Test Camera (test),599
Escalator 5 L2-L3 down,600
TESTING,601
NULL,602
Fire test case,603
Test,604
TEST02,605
testing,606
test,607
"Drunken person, black shirt and pants, short hair, about 30 year old , Chinese.",608
"Title : Escalator Number 12 Faulty
Location :Level 1 and B1
Decription : Faulty 
Help Needed :ASAP need maintenance",609
"( test ) A guy wearing a jacket taking pictures of the alley way.
male chinese 30s",610
white colour puppy,611
NULL,612
glass broken,613
Last seen at Tokyu Hand.,614
public fighting (TESTING),615
testing,616
trial testing,617
leak,618
Last seen at Tokyu Hand.,619
TESTING,620
NULL,621
info board not working near info counter,622
"contractor sleep near at L1 Qc  unit IROD 
beside  stair case 7A",623
"Equipment=
Location=1
Requester=test
Email=sdfds@asda.com
Phone=123456
Description=test",624
test2,625
test5,626
TESTING,627
NULL,628
pets roaming inside jewel,629
Lift breakdown,630
broken lift button,631
TEST,632
asdfasdfasdfasdfasdf,633
Pipe burst at Level 5 Canopy Park,634
loddy H ladder lying on the floor,635
01 MOP found smoking,636
Reported by Nicole (JCAD) Suspected someone from Adidas who throw the cement.,637
drunken man stripped naked run around roll on the floor causing public nuisance.,638
test,639
testing,640
EMSB-JWL-LC1-B2-1-Q1-12_OBTrip-Incoming Breaker Trip,641
AHU Breakdown,642
test1,643
Unattended Bag,644
"green bag infront of lobby H

EC hand over to info counter lobby H level 1",645
hshdbsnfbs,646
trail testing,647
NULL,648
verbal abuse by unknown person,649
Last seen at Tokyu Hand.,650
"male chinese in 30
attire:all black 
stolen cash approx 2k 
ast seen towawrs lobby h",651
TESTING,652
"small bag
brown color",653
"refer earlier report had trace materials belong tovto Sunray
have ask them to put nicely with floor protection and throw away other rubbish",654
ONE LAST TEST,655
test,656
TEST,657
male attempt to jump down,658
TEST,659
suspicious man caught urinating in lift,660
NULL,661
TEST,662
NULL,663
loading materials from B2 Carpark to B2 VMS,664
TEST,665
"spotted passenger with a puppy inside the cage. He was carrying it walking at level 2,  QB near towards QC.",666
break in (testing),667
TEST,668
FCU-JWL-B1-226-227-01_CmdFail-Command Fail Alarm,669
NULL,670
TEST,671
"Chinese lady in red dress
white puppy terrier leashed",672
NULL,673
"MOP (the event organisers) have left but will be back at the later time to collected their tables,chairs and etc.
They need to book parking lot at B2 loading bay thru jcad.",674
test,675
Drunken person,676
Testing,677
"Guest-Ong Lay Hua, incident happened T3 link bridge travelator, guest sent to RMG T3.",678
At level 1 near a unit have a bulgar alarm activate,679
Word Toilets is spell wrongly at all the information board.,680
FIRE DRILL AT L1,681
trial testing pa system not working,682
Testing,683
unattended kid bag at Lvl 2 forest valley near main entrance.,684
"FM - Light Fitting Fault Rectification

Please send an FM Officer to check on this walkway . Unit number 01-202/203
Tenant shop : Sincere",685
Trial Testing,686
"leaking water in L2 nike walking way 
need cleaner and repair help",687
testing,688
auto-created for testing purposes,689
pax ell,690
NULL,691
"Suspicious female guest, keep on looking to a shop, tried to approach her bit she seems ok. Need a security to approach her.",692
(TEST )  A male Indian in his 30s has fainted,693
test,694
"white jeans
blue shirt
black bag",695
test,696
TEST ARGUS - Accept & complete tasking.,697
TESTING,698
light flickering - level 4 in front yotelair,699
"An aircon leakage has been spotted in front of Shang Social. Need a maintenance and cleaners to fix the leakage and barricade for the spills. 

Now im diverting guests to other direction so they will not get any disturbance.",700
NULL,701
TEST,702
test,703
SOS,704
TESTING,705
Grey Bag Spotted with wire smell and ticking sound,706
FCU Breakdown at lift Lobby E (ORAT),707
testing,708
test,709
test,710
wire damage,711
"PA system not active and no electrical power supply.
Location is at North Gateway main Info Counter.",712
Spotted M/Chinese smoking at the say location SOC informed,713
TEST,714
female smoking in front Jumbo Restaurant,715
FCU water leak,716
TEST,717
testing,718
trial -,719
"contractors sleeping at level 1 lift j30 at coach bay corridor
alr clear the area",720
"A man wearing blue shirt, black jeans, white shoes",721
"Title : Es #12 faulty
Location : L1 infront of rain vortex
Decription : ES faulty, tried to rectify/turn-on to no avail
Help Needed : FM
Severity of the situation : manageable",722
TEST,723
"1.Male chinese
2.40+
3.blue t-shirt
4.black pant
5.Nike sport shoe
6.He bring pets to jewel.",724
TESTING,725
NULL,726
NULL,727
Internal orat,728
AHU-JWL-L4-01a_PFilAlm-Primary Differential Pressure Alarm,729
I saw unattended ipad with black cover at canopy bridge entrance,730
the guest stop smoking and leave the premises,731
Testing - Someone sleeping,732
theft at B1 victoria secrects,733
A chinese lady in her 50s slip on the watery floor and spairned ankle.,734
(TESTING) FCC Light trip,735
testing,736
Last seen at Tokyu Hand.,737
Blue colour bag spotted at L2 Lift Lobby E,738
EMSB-JWL-LC1-B2-1-Q1-12_OBTrip-Incoming Breaker Trip,739
test,740
drunk agressive and annoying,741
TEST,742
testing 123,743
"male 
chinese 
with chi hua hua dog on leashed",744
"lady in red dress
with white puppy",745
testing,746
DO NOT BE ALARMED,747
break in starbucks,748
testing,749
test,750
NULL,751
TEST,752
NULL,753
TESTING,754
test test,755
test,756
TEST ARGUS - Accept & complete tasking.,757
test,758
testing,759
NULL,760
two black color ipad was left unattended at level 5 petal garden seating area,761
test,762
Unattended bag found outside unit B1-295/296,763
workers fainted at level L1-262,764
testing,765
TEST02,766
Spotted m/chinese laying down infront of the said unit due to fainting,767
"malay lady
red shirt
black pants",768
"male chinese black pants blue shirt.
taking photo of surrounding,running around.",769
wire damege,770
test,771
Suicide,772
Trial - suspicious unattended bag with wires and ticking sound  need immediate help,773
testing,774
TEST,775
"one chine man  white t _shirt .height 1.88cm holding arm ,react violent",776
TEST  A Blue duffle bag has been spotted unattened for tha past 5 mins it informed that it has a ticking sound coming from it. TEST TEST,777
walkway  Level 4 infront of rain voltex between unit Cafe Morozoff and Funtoast is blackout,778
alarm activated at #02-250. door is locked but noticed some disturbance.,779
FOR TESTING PURPOSES,780
testing,781
unattended bag. no tell tale sign. waited 10.mins. no claimant. sent to info counter.,782
TEST,783
Last seen at Tokyu Hand.,784
"3 contractor sleeping on the walkway area
this location is in front of pokemon store.
they are in the hording area of the wakway.
do call SOC if unable to locate locations.",785
test,786
auto-created for testing purposes,787
test test,788
Air-con not working,789
"Security - Bomb threat
saw a bag look like bomb with wire come out  , oily and also have battery inside the bag",790
Verify If bag is a threat,791
NULL,792
TEST,793
"A Malay wearing blue poto T, black pants",794
TEST,795
suspicious person,796
Unattended Bag found near Uniqlo handed over to info counter,797
testt,798
white haversack white design with suspicious tell tale sign.,799
auto-created for testing purposes,800
TEST,801
TESTING,802
CT-RE-03_HILVLALM-High Level Alarm,803
FOR TESTING PURPOSE,804
NULL,805
NULL,806
TESTING,807
Found wallet,808
01 male malay was sleep at nearby shop lot.,809
test,810
water leaking,811
testing,812
flickering lights.,813
"Equipment=
Location=ef93af03-1c0d-4c12-8934-08d6b50306e1
Requester=Kelly Chia
Email=abc@lala.com
Phone=
Description=Litter BinFull",814
TESTING,815
Theft,816
tresspass person,817
Fcu drain pipe leaking,818
light flickering infront of the lobby e walkway ceiling,819
test,820
NULL,821
TEST,822
pa system servicing,823
"taking video and photos
@level 1 rain vortex 
few of them,now they are roaming arround at rain vortex",824
"Female wearing white polo t, black pants, sport shoes",825
lady female 30s fainted (concious),826
Last seen at Tokyu Hand.,827
TEST,828
testing,829
DXFCU-JWL-B1-MDF1-01_CMDFAIL-Command Fail Alarm,830
TEST,831
found an unattended bag near link bridge to t2.,832
"A man wearing orange shirt, black pants",833
NULL,834
"Chinese male
yellow polo T (testing)",835
testing,836
NULL,837
Testing,838
TESTING,839
black colour laptop bag,840
NULL,841
TEST TEST,842
B2 in front of lobby F pipe leaking,843
"chinese lady
short
hair
orange t- shirt",844
SOS,845
testing,846
"Break-in at Shake Shack, L2-256, blue shirt black pants, Asian male",847
"2 couple smoking at behind early chek in.
both wear black and white color shirt, white pants",848
TEST,849
NULL,850
testing,851
TEST mar 18,852
the ES-6E stop working from B1 to L1,853
Escalator 11 infront of Violet Oon to L2 is not moving. Pls get the FM to fix ASAP.,854
TEST,855
auto-created for testing purposes,856
CT-JWL-WSTATION_RAINSTATUS-Rain Sensor Status (test),857
test 2,858
FCU-JWL-B1-226-227-01_CmdFail-Command Fail Alarm,859
black shirt,860
NULL,861
Zara store at B1,862
auto-created for testing purposes,863
theft (testing),864
test2,865
test,866
test,867
Crack mirror,868
test,869
unattendend bag found at food hall B2,870
lobby e found 1 man smoking ....,871
EURO  GUEST IN RED SHIRT,872
"brown bag reported missing from shake shack.
suspect description chinese lady with spec brown top",873
TEST,874
test,875
trial stray dog .A stray dog with blue leash roaming near bengawan solo level 1,876
"testing
leaking",877
TEST a male Indian in his 30s has fainted. He is wearing a Blue shirt  & Black Pants with a Red cap,878
TEST R2,879
NULL,880
"02 malay female spotted fighting,1 holding penknife attempting to kill herself.",881
bringing material from T1 public area,882
"Chinese tall lady in red dress
leashed white dog",883
Looking Suspicios,884
test,885
test,886
NULL,887
auto-created for testing purposes,888
fghj,889
"male 
orange polo T 
fainted",890
the found starbucks bag will be returned by EC Johnathan to information counter at level 2,891
1  White Tote Bag containing a wallet found which was found at JEWEL L2 info Counter needs to be collected from  the store and returned to T1 Info counter at Arrival Hall . Hand over to Info counter staff  as JEL's Approval has been cleared .,892
DXFCU-JWL-B1-MDF1-01_CMDFAIL-Command Fail Alarm,893
NULL,894
"o1 female chinese ,blue shirt spotted with leashed pet dog.",895
testing,896
Trial Testing - Level 2 near nike black handbag size bag unopened,897
woh hup worker come in doing maintaince without valid pass,898
test,899
test test test,900
testing,901
TESTING,902
01 blck box with ticking sound and wires portruding out.,903
TESTING,904
NULL,905
"trial 
trial - Unattended Bags",906
CCTV no image (Testing purpose) please ignore this report.,907
TESTING,908
test,909
"At unit 02-224 - 225 , unattended bag , bad smelly, wire visible",910
"01 black colour trolley unattended bag found @ level 1 near left baggage.suspicious person plant the bag,suspect bomb",911
Man snatch wallet run towards L4,912
Testing,913
NULL,914
There  are MOPs at the L5 Mirror maze  attraction last see heading towards Discovery  exhibition,915
test test,916
"iphone 10
white colour beside bakery cuisene",917
TESTING,918
Break In (Test),919
testing,920
NULL,921
"pipe burst, leaking",922
test test,923
auto-created for testing purposes,924
ADS Test,925
test,926
